date,meteofrance_success,meteofrance_failure,openmeteo_fallback,temperature_issues,alerts_errors
2025-06-24,596,0,0,0,0
2025-06-25,87,2,0,0,18
2025-06-26,362,0,0,0,0
2025-06-27,5,0,0,0,0
2025-06-28,3,0,0,0,0
2025-06-29,3,0,0,0,0
2025-06-30,4,0,0,0,0
2025-07-02,6,0,0,0,0
2025-07-03,3,0,0,0,0
2025-07-04,3,0,0,0,0
2025-07-05,14,0,0,0,7
2025-07-06,89,0,0,0,0
2025-07-07,351,0,0,4,0
2025-07-08,8,0,0,2,0
2025-07-09,26,0,0,2,0
2025-07-10,93,0,0,70,0
2025-07-11,65,0,0,58,0
2025-07-12,65,0,0,62,0
2025-07-13,65,0,0,62,0
2025-07-14,65,0,0,62,0
2025-07-15,65,0,0,62,0
2025-07-16,65,0,0,62,0
2025-07-17,66,0,0,62,0
2025-07-18,69,0,0,66,0
2025-07-19,65,0,0,62,0
2025-07-20,65,0,0,62,0
2025-07-21,70,0,0,66,0
2025-07-22,65,0,0,62,0
2025-07-23,65,0,0,62,0
2025-07-24,65,0,0,62,0
2025-07-25,63,0,0,60,0
2025-07-26,65,0,0,62,0
2025-07-27,66,0,0,62,0
2025-07-28,132,0,0,116,0
